state/ut,cnfrmd,actv,rcvd,dcsd
Anjaw,0,0,0,0
Changlang,41,41,0,0
East Kameng,0,0,0,0
East Siang,3,3,0,0
Kamle,0,0,0,0
Kra Daadi,0,0,0,0
Kurung Kumey,0,0,0,0
Lepa Rada,0,0,0,0
Lohit,2,1,1,0
Longding,0,0,0,0
Lower Dibang Valley,1,1,0,0
Lower Siang,0,0,0,0
Lower Subansiri,0,0,0,0
Namsai,2,2,0,0
Pakke Kessang,1,0,1,0
Papum Pare,7,7,0,0
Shi Yomi,0,0,0,0
Siang,0,0,0,0
Tawang,1,1,0,0
Tirap,1,1,0,0
Upper Dibang Valley,0,0,0,0
Upper Siang,1,1,0,0
Upper Subansiri,0,0,0,0
West Kameng,0,0,0,0
West Siang,1,1,0,0
Unknown,0,-2,2,0
Total,61,57,4,0
