state/ut,cnfrmd,actv,rcvd,dcsd
Baksa,17,17,0,0
Barpeta,105,50,55,0
Biswanath,52,45,7,0
Bongaigaon,19,12,7,0
Cachar,90,8,82,0
Charaideo,15,15,0,0
Chirang,38,38,0,0
Darrang,89,89,0,0
Dhemaji,71,65,6,0
Dhubri,306,301,5,0
Dibrugarh,55,50,5,0
Dima Hasao,88,81,7,0
Goalpara,57,38,4,0
Golaghat,225,138,87,0
Hailakandi,52,46,5,1
Hojai,266,266,0,0
Jorhat,46,-8,54,0
Kamrup,149,128,21,0
Kamrup Metropolitan,423,104,315,4
Karbi Anglong,14,7,7,0
Karimganj,83,67,16,0
Kokrajhar,73,63,10,0
Lakhimpur,75,69,6,0
Majuli,7,7,0,0
Morigaon,49,30,19,0
Nagaon,198,173,25,0
Nalbari,25,16,9,0
Other State,1,0,1,0
Sivasagar,27,27,0,0
Sonitpur,41,6,35,0
South Salmara Mankachar,7,6,1,0
Tinsukia,102,96,6,0
Udalguri,85,83,2,0
West Karbi Anglong,17,17,0,0
Unknown,319,-133,452,0
Total,3286,2017,1249,5
