state/ut,cnfrmd,actv,rcvd,dcsd
Araria,83,43,39,1
Arwal,66,23,43,0
Aurangabad,95,32,62,1
Banka,150,55,95,0
Begusarai,282,79,200,3
Bhagalpur,285,134,150,1
Bhojpur,129,53,74,2
Buxar,145,41,104,0
Darbhanga,135,58,75,2
East Champaran,136,63,72,1
Gaya,125,84,41,0
Gopalganj,146,45,101,0
Jamui,48,19,28,1
Jehanabad,180,52,127,1
Kaimur,117,57,60,0
Katihar,192,113,79,0
Khagaria,280,160,117,3
Kishanganj,113,95,18,0
Lakhisarai,66,35,31,0
Madhepura,124,76,47,1
Madhubani,259,151,108,0
Munger,229,89,139,1
Muzaffarpur,130,90,39,1
Nalanda,139,27,111,1
Nawada,173,92,80,1
Patna,294,111,181,2
Purnia,204,148,56,0
Rohtas,258,61,196,1
Saharsa,95,44,51,0
Samastipur,138,74,63,1
Saran,130,84,44,2
Sheikhpura,117,66,51,0
Sheohar,28,20,7,1
Sitamarhi,86,49,35,2
Siwan,161,92,67,2
Supaul,168,119,49,0
Vaishali,104,45,57,2
West Champaran,88,51,37,0
Total,5698,2730,2934,34
