state/ut,cnfrmd,actv,rcvd,dcsd
Other State,1,1,0,0
Balod,41,20,21,0
Baloda Bazar,120,106,14,0
Balrampur,32,24,8,0
Bametara,26,12,14,0
Bastar,4,3,0,1
Bijapur,0,0,0,0
Bilaspur,106,72,33,1
Dakshin Bastar Dantewada,0,0,0,0
Dhamtari,6,4,2,0
Durg,43,29,11,3
Gariaband,10,6,4,0
Janjgir Champa,95,79,16,0
Jashpur,80,68,12,0
Kabeerdham,81,67,14,0
Kondagaon,0,0,0,0
Korba,127,89,38,0
Koriya,46,39,7,0
Mahasamund,57,48,9,0
Mungeli,108,52,56,0
Narayanpur,0,0,0,0
Raigarh,53,39,14,0
Raipur,99,87,11,1
Rajnandgaon,59,23,36,0
Sukma,0,0,0,0
Surajpur,13,5,8,0
Surguja,26,19,7,0
Uttar Bastar Kanker,26,13,13,0
Gaurela Pendra Marwahi,3,0,3,0
Unknown,0,-51,51,0
Total,1262,854,402,6
