state/ut,cnfrmd,actv,rcvd,dcsd
Other State,33,25,8,0
Ahmedabad,15305,3569,10644,1092
Amreli,19,6,9,4
Anand,119,13,95,11
Aravalli,130,7,115,8
Banaskantha,145,31,107,7
Bharuch,62,23,35,4
Bhavnagar,154,34,109,11
Botad,60,3,55,2
Chhota Udaipur,38,6,32,0
Dahod,46,14,32,0
Dang,4,2,2,0
Devbhumi Dwarka,15,3,12,0
Gandhinagar,434,212,203,19
Gir Somnath,48,3,45,0
Jamnagar,68,20,45,3
Junagadh,39,9,29,1
Kheda,110,43,63,4
Kutch,82,10,67,5
Mahisagar,116,7,107,2
Mehsana,165,61,96,8
Morbi,6,2,4,0
Narmada,23,5,18,0
Navsari,35,11,23,1
Panchmahal,109,15,81,13
Patan,107,27,73,7
Porbandar,14,3,9,2
Rajkot,138,52,81,5
Sabarkantha,131,36,90,5
Surat,2281,683,1512,86
Surendranagar,60,25,33,2
Tapi,6,1,5,0
Vadodara,1395,477,875,43
Valsad,57,26,29,2
Total,21554,5464,14743,1347
