state/ut,cnfrmd,actv,rcvd,dcsd
Anantnag,470,160,305,5
Bandipora,229,92,136,1
Baramulla,495,363,122,10
Budgam,211,130,79,2
Doda,43,40,2,1
Ganderbal,58,32,26,0
Jammu,242,134,105,3
Kathua,123,74,49,0
Kishtwar,21,15,6,0
Kulgam,568,400,161,7
Kupwara,374,139,232,3
Mirpur,0,0,0,0
Muzaffarabad,0,0,0,0
Pulwama,190,168,20,2
Punch,85,76,9,0
Rajouri,57,44,13,0
Ramban,172,149,23,0
Reasi,23,20,3,0
Samba,69,46,23,0
Shopiyan,439,264,171,4
Srinagar,488,325,151,12
Udhampur,150,114,35,1
Total,4507,2785,1671,51
