state/ut,cnfrmd,actv,rcvd,dcsd
Agar Malwa,15,2,12,1
Alirajpur,3,0,3,0
Anuppur,24,7,17,0
Ashoknagar,32,20,11,1
Balaghat,11,6,5,0
Barwani,62,9,51,2
Betul,36,10,26,0
Bhind,106,50,56,0
Bhopal,1927,506,1355,66
Burhanpur,377,76,282,19
Chhatarpur,41,12,29,0
Chhindwara,29,24,4,1
Damoh,27,4,23,0
Datia,20,13,6,1
Dewas,145,55,81,9
Dhar,129,3,122,4
Dindori,29,13,16,0
Guna,9,7,2,0
Gwalior,228,111,115,2
Harda,3,0,3,0
Hoshangabad,37,0,34,3
Indore,3881,1129,2591,161
Jabalpur,283,53,219,11
Jhabua,13,0,12,1
Katni,3,3,0,0
Khandwa,274,30,227,17
Khargone,209,58,138,13
Mandla,5,1,3,1
Mandsaur,95,3,83,9
Morena,133,40,92,1
Narsinghpur,18,14,4,0
Neemuch,353,126,222,5
Niwari,0,0,0,0
Other Region,0,0,0,0
Panna,21,2,19,0
Raisen,76,8,65,3
Rajgarh,37,25,9,3
Ratlam,85,46,35,4
Rewa,38,3,34,1
Sagar,242,78,151,13
Satna,22,1,19,2
Sehore,11,0,9,2
Seoni,2,0,2,0
Shahdol,13,6,7,0
Shajapur,38,27,8,3
Sheopur,53,38,13,2
Shivpuri,17,9,8,0
Sidhi,17,5,12,0
Singrauli,12,1,11,0
Tikamgarh,16,8,7,1
Ujjain,745,69,612,64
Umaria,10,7,2,1
Vidisha,37,12,25,0
Total,10049,2730,6892,427
