state/ut,cnfrmd,actv,rcvd,dcsd
Ahmednagar,220,72,139,9
Akola,882,345,497,40
Amravati,305,75,210,20
Aurangabad,2173,773,1283,117
Beed,63,15,46,2
Bhandara,42,11,31,0
Buldhana,98,39,56,3
Chandrapur,45,19,26,0
Dhule,334,174,135,25
Gadchiroli,45,7,37,1
Gondia,68,1,67,0
Hingoli,214,35,179,0
Jalgaon,1288,599,569,120
Jalna,225,72,148,5
Kolhapur,671,193,470,8
Latur,147,25,118,4
Mumbai,52667,27116,23694,1857
Mumbai Suburban,0,0,0,0
Nagpur,831,324,495,12
Nanded,174,53,113,8
Nandurbar,44,12,28,4
Nashik,1704,479,1130,95
Osmanabad,140,54,83,3
Other State,80,60,0,20
Palghar,1738,1048,645,45
Parbhani,80,19,58,3
Pune,10406,3888,6079,439
Raigad,1575,536,981,58
Ratnagiri,381,176,191,14
Sangli,188,78,106,4
Satara,681,293,361,27
Sindhudurg,133,82,51,0
Solapur,1483,717,654,112
Thane,14720,8636,5706,378
Wardha,14,6,7,1
Washim,14,6,6,2
Yavatmal,168,49,117,2
Total,94041,46087,44516,3438
