state/ut,cnfrmd,actv,rcvd,dcsd
Amritsar,515,148,356,11
Barnala,28,3,24,1
Bathinda,55,5,50,0
Faridkot,86,25,61,0
Fatehgarh Sahib,73,9,64,0
Fazilka,48,5,43,0
Ferozepur,46,0,45,1
Gurdaspur,165,26,136,3
Hoshiarpur,135,2,128,5
Jalandhar,312,65,239,8
Kapurthala,41,5,33,3
Ludhiana,277,93,174,10
Mansa,34,2,32,0
Moga,67,2,65,0
Pathankot,113,44,65,4
Patiala,142,27,112,3
Rupnagar,71,2,68,1
S.A.S. Nagar,136,24,109,3
Sangrur,120,19,101,0
Shahid Bhagat Singh Nagar,110,5,104,1
Sri Muktsar Sahib,71,5,66,0
Tarn Taran,160,2,157,1
Total,2805,518,2232,55
