state/ut,cnfrmd,actv,rcvd,dcsd
Ajmer,380,38,331,11
Alwar,171,117,52,2
Banswara,90,4,84,2
Baran,61,25,33,3
Barmer,112,27,85,0
Bharatpur,893,570,314,9
Bhilwara,181,43,135,3
Bikaner,117,22,90,5
BSF Camp,50,0,50,0
Bundi,9,8,1,0
Chittorgarh,199,23,172,4
Churu,175,72,102,1
Dausa,74,23,50,1
Dholpur,74,13,60,1
Dungarpur,383,44,339,0
Evacuees,61,0,61,0
Ganganagar,11,4,7,0
Hanumangarh,30,1,29,0
Italians,2,0,2,0
Jaipur,2411,402,1890,119
Jaisalmer,77,5,72,0
Jalore,185,25,158,2
Jhalawar,335,87,248,0
Jhunjhunu,184,33,150,1
Jodhpur,1985,470,1489,26
Karauli,34,18,13,3
Kota,535,65,452,18
Nagaur,520,74,437,9
Other State,50,35,0,15
Pali,685,220,458,7
Pratapgarh,14,0,13,1
Rajsamand,165,24,140,1
Sawai Madhopur,45,23,17,5
Sikar,318,116,197,5
Sirohi,219,80,136,3
Tonk,175,7,167,1
Udaipur,590,54,535,1
Total,11600,2772,8569,259
