state/ut,cnfrmd,actv,rcvd,dcsd
Foreign Evacuees,33,33,0,0
Other State,250,250,0,0
Adilabad,30,15,15,0
Bhadradri Kothagudem,5,1,4,0
Hyderabad,2514,2186,305,23
Jagtial,16,14,2,0
Jangaon,6,5,1,0
Jayashankar Bhupalapally,3,3,0,0
Jogulamba Gadwal,46,20,25,1
Kamareddy,13,5,8,0
Karimnagar,25,9,16,0
Khammam,20,17,3,0
Komaram Bheem,14,12,2,0
Mahabubabad,6,5,1,0
Mahabubnagar,31,23,8,0
Mancherial,4,3,0,1
Medak,17,13,4,0
Medchal Malkajgiri,96,86,9,1
Mulugu,2,0,2,0
Nagarkurnool,8,6,2,0
Nalgonda,23,11,12,0
Narayanpet,2,1,0,1
Nirmal,26,13,13,0
Nizamabad,63,33,30,0
Peddapalli,3,2,1,0
Rajanna Sircilla,6,4,2,0
Ranga Reddy,190,171,17,2
Sangareddy,34,28,6,0
Siddipet,4,3,1,0
Suryapet,86,62,24,0
Vikarabad,41,25,15,1
Wanaparthy,1,1,0,0
Warangal Rural,1,1,0,0
Warangal Urban,33,10,23,0
Yadadri Bhuvanagiri,9,9,0,0
Unknown,450,-942,1266,126
Total,4111,2138,1817,156
