state/ut,cnfrmd,actv,rcvd,dcsd
Agra,994,134,805,55
Aligarh,226,103,105,18
Ambedkar Nagar,94,43,48,3
Amethi,214,97,116,1
Amroha,75,18,56,1
Auraiya,52,24,26,2
Ayodhya,150,43,103,4
Azamgarh,161,71,87,3
Baghpat,119,90,28,1
Bahraich,106,30,76,0
Ballia,60,21,39,0
Balrampur,47,10,36,1
Banda,31,6,24,1
Barabanki,187,46,140,1
Bareilly,75,35,38,2
Basti,244,97,137,10
Bhadohi,76,53,23,0
Bijnor,168,79,86,3
Budaun,48,9,38,1
Bulandshahr,249,136,105,8
Chandauli,39,20,18,1
Chitrakoot,65,30,33,2
Deoria,138,63,72,3
Etah,53,31,18,4
Etawah,96,54,41,1
Farrukhabad,60,33,26,1
Fatehpur,69,30,39,0
Firozabad,324,64,242,18
Gautam Buddha Nagar,746,284,453,9
Ghaziabad,538,231,293,14
Ghazipur,167,84,83,0
Gonda,108,49,59,0
Gorakhpur,148,87,53,8
Hamirpur,15,10,5,0
Hapur,198,94,101,3
Hardoi,126,84,42,0
Hathras,47,22,24,1
Jalaun,72,27,41,4
Jaunpur,352,191,158,3
Jhansi,64,24,32,8
Kannauj,112,68,44,0
Kanpur Dehat,40,27,12,1
Kanpur Nagar,560,200,342,18
Kasganj,26,11,15,0
Kaushambi,50,3,47,0
Kushinagar,57,44,11,2
Lakhimpur Kheri,82,19,63,0
Lalitpur,3,1,1,1
Lucknow,482,135,340,7
Maharajganj,89,51,37,1
Mahoba,24,13,10,1
Mainpuri,95,55,36,4
Mathura,113,38,69,6
Mau,62,30,31,1
Meerut,567,145,382,40
Mirzapur,42,15,27,0
Moradabad,275,71,193,11
Muzaffarnagar,137,67,68,2
Pilibhit,66,22,44,0
Pratapgarh,91,13,74,4
Prayagraj,133,45,84,4
Rae Bareli,100,31,68,1
Rampur,225,53,170,2
Saharanpur,273,41,232,0
Sambhal,153,68,84,1
Sant Kabir Nagar,155,87,61,7
Shahjahanpur,53,34,19,0
Shamli,51,10,41,0
Shrawasti,47,18,28,1
Siddharthnagar,164,57,104,3
Sitapur,44,4,40,0
Sonbhadra,24,18,6,0
Sultanpur,105,36,68,1
Unnao,61,31,28,2
Varanasi,248,100,143,5
Total,11610,4318,6971,321
