state/ut,cnfrmd,actv,rcvd,dcsd
Alipurduar,38,31,7,0
Bankura,153,110,43,0
Birbhum,235,55,179,1
Cooch Behar,217,150,67,0
Dakshin Dinajpur,44,9,35,0
Darjeeling,128,85,40,3
Hooghly,649,436,201,12
Howrah,1524,926,543,55
Jalpaiguri,101,87,14,0
Jhargram,11,5,6,0
Kalimpong,23,15,7,1
Kolkata,3128,1632,1221,275
Malda,235,114,121,0
Murshidabad,149,43,103,3
Nadia,149,73,74,2
North 24 Parganas,1258,764,431,63
Other State,66,22,41,3
Paschim Bardhaman,90,44,44,2
Paschim Medinipur,209,146,62,1
Purba Bardhaman,127,23,104,0
Purba Medinipur,171,90,79,2
Purulia,83,41,42,0
South 24 Parganas,331,204,118,9
Uttar Dinajpur,209,12,197,0
Total,9328,5117,3779,432
